,address,company,company_link,educational,experience,info_link,name,publish_time,salary,work_place,work_type
39,"[上海市浦东新区金港路333号828室                                        (邮编：201206)
                            ]",上海领旗信息科技有限公司,https://jobs.51job.com/all/co2135038.html,本科,3-4年经验,https://jobs.51job.com/qingdao-lsq/90482491.html?s=01&t=0,Python 开发工作,06-02,1-1.5万/月,上海-浦东新区,软件工程师
40,"[北京市朝阳区东三环中路39号建外SOHO东区2号楼                                        (邮编：100022)
                            ]",全美测评软件系统（北京）有限公司,https://jobs.51job.com/all/co3703271.html,本科,3-4年经验,https://jobs.51job.com/shanghai-cnq/88243000.html?s=01&t=0,Python开发工程师,06-02,1-1.5万/月,上海-浦东新区,高级软件工程师
41,"[工业园区星汉街5号腾飞新苏坊6幢6楼                                        (邮编：215021)
                            ]",苏州正载信息技术有限公司,https://jobs.51job.com/all/co3264450.html,本科,1年经验,https://jobs.51job.com/jinan-gxq/83608224.html?s=01&t=0,后台(python)开发工程师,06-02,0.5-1万/月,苏州,软件工程师
42,"[琼山区龙昆南路89号汇隆广场3-1008                                        (邮编：570206)
                            ]",海南讯海科技有限公司,https://jobs.51job.com/all/co2624040.html,本科,1年经验,https://jobs.51job.com/wuhan-hsq/64274846.html?s=01&t=0,python开发工程师,06-02,1-1.5万/月,海口,软件工程师
43,"[南山区南头关口二路智恒产业园16栋3楼南方网通                                        (邮编：518000)
                            ]",深圳市南方网通网络技术开发有限公司,https://jobs.51job.com/all/co2263689.html,大专,5-7年经验,https://jobs.51job.com/shenzhen-lhq/102346690.html?s=01&t=0,Python开发工程师（包住+五险一金）,06-02,1-2万/月,深圳-南山区,高级软件工程师
44,"[广州市东风中路445号越秀城市广场北塔2007                                        (邮编：510045)
                            ]",广州君和信息技术有限公司,https://jobs.51job.com/all/co4254921.html,高中,无工作经验,https://jobs.51job.com/harbin/90972519.html?s=01&t=0,python开发工程师,06-02,0.5-1万/月,广州-越秀区,网站维护工程师
45,"[深圳市福田区深南大道车公庙绿景广场副楼6A1                                        (邮编：518048)
                            ]",深圳市匡曲科技有限公司,https://jobs.51job.com/all/co4924622.html,本科,3-4年经验,https://jobs.51job.com/shanghai-jaq/93209141.html?s=01&t=0,python量化交易开发工程师,06-02,1-2万/月,深圳-福田区,高级软件工程师
46,"[碑林区长安北路                                        (邮编：710000)
                            ]",重庆好奇堂游戏有限公司,https://jobs.51job.com/all/co4852309.html,本科,1年经验,https://jobs.51job.com/guangzhou-thq/100743639.html?s=01&t=0,Python开发工程师/实习生,06-02,5-7千/月,西安,软件工程师
47,"[沈阳市浑南新区新秀街2号东软A9楼213室                                        (邮编：124214)
                            ]",东软睿道教育,https://jobs.51job.com/all/co3571280.html,大专,无工作经验,https://jobs.51job.com/xian/100789093.html?s=01&t=0,Python开发工程师,06-02,6-8千/月,沈阳-浑南区,大数据开发/分析
48,"[深圳市南山区文化产业基地                                        (邮编：518000)
                            ]",深圳市微商时代科技有限公司,https://jobs.51job.com/all/co4407574.html,招1人,无工作经验,https://jobs.51job.com/nanjing-jnq/91355381.html?s=01&t=0,Python高级开发工程师,06-02,1.5-3.5万/月,深圳,互联网软件开发工程师
49,"[新安街道隆昌路8号飞扬科技园B栋8楼飞扬集团                                        (邮编：518101)
                            ]",飞扬集团,https://jobs.51job.com/all/co4260651.html,本科,1年经验,https://jobs.51job.com/shanghai-ypq/102525781.html?s=01&t=0,Python开发工程师—新材料促进中心,06-02,1-2万/月,深圳,软件工程师
50,"[宝安区创业二路新一代信息技术产业园区c座1楼                                        (邮编：518000)
                            ]",深圳市创业二路科技有限公司,https://jobs.51job.com/all/co4911546.html,招1人,无工作经验,https://jobs.51job.com/wuxi/102844289.html?s=01&t=0,python讲师,06-02,1.5-2万/月,深圳-宝安区,互联网软件开发工程师
51,"[广州市黄埔区文冲敬业路97号淘汇商业城二楼                                        (邮编：510700)
                            ]",广州一秒钟表有限公司,https://jobs.51job.com/all/co2887231.html,大专,无工作经验,https://jobs.51job.com/shenzhen-nsq/96747020.html?s=01&t=0,Python开发工程师,06-02,0.8-1万/月,广州-黄埔区,软件工程师
52,"[浦东新区盛夏路58号B幢603                                        (邮编：201203)
                            ]",上海造艺网络科技有限公司,https://jobs.51job.com/all/co3591428.html,本科,2年经验,https://jobs.51job.com/beijing/97531954.html?s=01&t=0,Python高级开发工程师,06-02,1.8-2.6万/月,上海-杨浦区,软件工程师
53,"[重庆高新区科园一路5号创新大厦3楼                                        (邮编：400039)
                            ]",重庆融特通信技术有限公司,https://jobs.51job.com/all/co1242214.html,招1人,无工作经验,https://jobs.51job.com/shanghai-pdxq/94045387.html?s=01&t=0,python开发工程师,06-02,4-8千/月,重庆,软件工程师
54,"[黄埔区科学大道科学城商业广场A4栋703-704                                        (邮编：510530)
                            ]",广东菲立智能家居有限公司,https://jobs.51job.com/all/co4197999.html,本科,无工作经验,https://jobs.51job.com/shanghai-ypq/96745156.html?s=01&t=0,Python实施人员,06-02,1-1.5万/月,广州-增城,互联网软件开发工程师
55,"[珠海市香洲区南湾北路32号V12文化创意产业园5栋5532号                                        (邮编：519000)
                            ]",珠海轼域网络科技有限公司,https://jobs.51job.com/all/co2837968.html,招2人,无工作经验,https://jobs.51job.com/shenzhen-nsq/96113855.html?s=01&t=0,Python 开发工程师,06-02,0.8-2万/月,珠海-香洲区,软件工程师
56,"[广州白云永泰永平泰兴路4号恒企大厦B栋6楼                                        (邮编：350712)
                            ]",广州领教文化传媒科技有限公司,https://jobs.51job.com/all/co5001752.html,大专,3-4年经验,https://jobs.51job.com/shanghai-pdxq/97756882.html?s=01&t=0,数据分析师（会简单Python）,06-02,4-6千/月,广州-白云区,软件工程师
57,"[深圳市南山区学苑大道1001号南山智园A1栋                                        (邮编：518052)
                            ]",深信服科技股份有限公司,https://jobs.51job.com/all/co369401.html,本科,1年经验,https://jobs.51job.com/chengdu-gxq/100136248.html?s=01&t=0,云计算开发工程师（python）,06-02,1.5-2万/月,深圳-南山区,软件工程师
58,"[东二环369号石韵商务中心                                        (邮编：050000)
                            ]",河北臻龙科技有限公司,https://jobs.51job.com/all/co4775025.html,招3人,无工作经验,https://jobs.51job.com/hangzhou-gsq/101520827.html?s=01&t=0,Python开发工程师,06-02,4.5-6千/月,异地招聘,系统集成工程师
59,"[袍江汤公路11号6幢4楼                                        (邮编：312000)
                            ]",绍兴俊睿云计算有限公司,https://jobs.51job.com/all/co4978053.html,本科,2年经验,https://jobs.51job.com/ningbo/83205461.html?s=01&t=0,Python研发工程师,06-02,0.3-1万/月,绍兴,软件工程师
60,"[青岛市崂山区松岭路169号软件园3B 305室                                        (邮编：266100)
                            ]",青岛百灵信息科技股份有限公司,https://jobs.51job.com/all/co2413369.html,本科,3-4年经验,https://jobs.51job.com/beijing/101086902.html?s=01&t=0,Python开发工程师,06-02,0.8-1万/月,青岛-崂山区,软件工程师
61,"[工业园区裕新路168号                                        (邮编：215000)
                            ]",苏州冷静文化传媒有限公司,https://jobs.51job.com/all/co3982059.html,本科,无工作经验,https://jobs.51job.com/hangzhou-bjq/101147442.html?s=01&t=0,爬虫工程师/python工程师,06-02,1-1.5万/月,苏州-工业园区,高级软件工程师
62,"[武汉市洪山区珞喻路鲁巷                                        (邮编：430000)
                            ]",湖北阿百云健康科技服务有限公司,https://jobs.51job.com/all/co5010554.html,本科,无工作经验,https://jobs.51job.com/quanzhou/92664037.html?s=01&t=0,Python开发工程师,06-02,4-6千/月,武汉-洪山区,软件工程师
63,"[前进大街修路                                        (邮编：130000)
                            ]",卓云科技服务（长春）有限公司,https://jobs.51job.com/all/co4982097.html,本科,1年经验,https://jobs.51job.com/shenzhen-lhxq/83429787.html?s=01&t=0,python工程师 人工智能工程师,06-02,3-4.5千/月,长春,软件工程师
64,"[洪山区珞喻路718号春和天地湖北体创空间孵化器                                        (邮编：430000)
                            ]",武汉育豪体育文化传播有限公司,https://jobs.51job.com/all/co4504935.html,中专,无工作经验,https://jobs.51job.com/xian-wyq/102109857.html?s=01&t=0,招Python开发程序员,06-02,4-6千/月,武汉-洪山区,系统集成工程师
65,"[武汉市洪山区珞喻路718号春和天地湖北体创空间孵化器                                        (邮编：430000)
                            ]",湖北华奥星空体育产业联盟发展有限公司,https://jobs.51job.com/all/co4573186.html,本科,3-4年经验,https://jobs.51job.com/shenzhen-nsq/101187529.html?s=01&t=0,python开发工程师,06-02,4-6千/月,武汉-洪山区,高级软件工程师
66,"[北京市朝阳区青年路7号院达美中心2号楼15-16F                                        (邮编：100062)
                            ]",深圳市赢时胜信息技术股份有限公司北京分公司,https://jobs.51job.com/all/co2615023.html,本科,无工作经验,https://jobs.51job.com/shenzhen-nsq/91678545.html?s=01&t=0,Python工程师,06-02,1-1.5万/月,北京,高级软件工程师
67,"[碑林区                                        (邮编：710000)
                            ]",重庆卓睿信息技术有限公司,https://jobs.51job.com/all/co4090456.html,招2人,2年经验,https://jobs.51job.com/chengdu-gxq/102823577.html?s=01&t=0,Python开发助理/实习生  双休,06-02,4.5-6千/月,异地招聘,互联网软件开发工程师
68,"[碑林区                                        (邮编：710000)
                            ]",中软博通软件（西安）,https://jobs.51job.com/all/co4160660.html,本科,3-4年经验,https://jobs.51job.com/shenzhen-lhxq/101548296.html?s=01&t=0,Python开发助理  双休,06-02,4.5-6千/月,西安,数据库工程师/管理员
69,"[玄武区珠江路未来城                                        (邮编：210000)
                            ]",南京市玄武区宇皋俊电子科技中心,https://jobs.51job.com/all/co5008699.html,招若干人,无工作经验,https://jobs.51job.com/guangzhou-thq/102816904.html?s=01&t=0,python开发工程师+人工智能开发,06-02,4.5-6千/月,南京-玄武区,语音/视频/图形开发工程师
70,"[上海市长宁区福泉路111号                                        (邮编：200335)
                            ]",上海神州数码有限公司,https://jobs.51job.com/all/co2010551.html,招1人,3-4年经验,https://jobs.51job.com/beijing-hdq/92779308.html?s=01&t=0,Python开发工程师,06-02,0.8-1万/月,上海-长宁区,其他
71,"[北京市海淀区北三环西路大钟寺中坤广场E座                                        (邮编：100089)
                            ]",达内时代科技集团有限公司,https://jobs.51job.com/all/co4764354.html,招2人,无工作经验,https://jobs.51job.com/hangzhou-bjq/102816838.html?s=01&t=0,Python讲师-机器学习方向 (MJ004042),06-02,2-3.5万/月,北京-海淀区,软件工程师
72,"[环球中心w2区 1635                                        (邮编：610041)
                            ]",成都魔力百聚科技有限公司,https://jobs.51job.com/all/co4057599.html,大专,1年经验,https://jobs.51job.com/changsha/101938393.html?s=01&t=0,Python开发工程师,06-02,0.8-1万/月,成都-高新区,软件工程师
73,"[宝安区宏发中心大厦1923室                                        (邮编：518101)
                            ]",深圳市三创达实业有限公司,https://jobs.51job.com/all/co4859706.html,本科,2年经验,https://jobs.51job.com/shenzhen-nsq/101492507.html?s=01&t=0,Python游戏服务端开发工程师,06-02,1-2万/月,深圳-宝安区,互联网软件开发工程师
74,"[重庆市渝北区青枫北路10号双子座A                                        (邮编：400000)
                            ]",重庆江小白酒业有限公司,https://jobs.51job.com/all/co4735994.html,大专,3-4年经验,https://jobs.51job.com/guangzhou-thq/101439382.html?s=01&t=0,数据挖掘工程师（python）,06-02,0.7-1.1万/月,重庆-渝北区,软件工程师
75,"[武汉市洪山区珞瑜路766号光谷世界城广场1号写字楼22层（光谷大洋百货向东200米）                                        (邮编：430070)
                            ]",武汉誉天互联科技有限责任公司,https://jobs.51job.com/all/co1248435.html,本科,无工作经验,https://jobs.51job.com/shenzhen-nsq/95338712.html?s=01&t=0,开发讲师（Python/Java）,06-02,0.8-1万/月,武汉-洪山区,大数据开发/分析
76,"[广州市天河区中山大道89号华景软件园A栋4楼南11号                                        (邮编：510000)
                            ]",天意有福科技股份有限公司,https://jobs.51job.com/all/co2042535.html,招2人,1年经验,https://jobs.51job.com/nanning/102140129.html?s=01&t=0,PHP/Python ERP软件开发工程师,06-02,0.6-1万/月,广州-天河区,其他
